iter	Passed	Remaining
0	3	1799
1	6	1735
2	10	1745
3	12	1534
4	13	1331
5	15	1313
6	17	1244
7	21	1307
8	24	1354
9	26	1277
10	29	1315
11	33	1344
12	36	1369
13	40	1390
14	41	1352
15	45	1373
16	48	1385
17	52	1409
18	54	1372
19	57	1382
20	59	1348
21	62	1361
22	66	1386
23	70	1399
24	72	1383
25	76	1391
26	80	1403
27	83	1411
28	87	1416
29	90	1424
30	94	1430
31	98	1443
32	100	1419
33	103	1422
34	107	1427
35	109	1416
36	112	1404
37	114	1392
38	118	1396
39	119	1379
40	123	1383
41	125	1367
42	127	1351
43	128	1335
44	130	1320
45	134	1322
46	136	1314
47	138	1302
48	141	1306
49	145	1308
50	149	1312
51	152	1314
52	154	1300
53	158	1305
54	161	1306
55	165	1308
56	167	1301
57	171	1305
58	174	1306
59	176	1293
60	179	1295
61	183	1295
62	186	1295
63	190	1298
64	194	1300
65	195	1286
66	199	1287
67	202	1288
68	204	1278
69	208	1278
70	211	1279
71	215	1280
72	218	1280
73	222	1280
74	225	1280
75	227	1268
76	231	1269
77	235	1271
78	238	1272
79	242	1272
80	246	1273
81	249	1272
82	251	1265
83	255	1265
84	256	1252
85	259	1251
86	263	1251
87	267	1250
88	270	1249
89	274	1248
90	275	1236
91	278	1237
92	282	1237
93	286	1236
94	287	1225
95	290	1224
96	292	1214
97	295	1214
98	299	1212
99	303	1212
100	306	1212
101	310	1211
102	314	1211
103	317	1210
104	320	1204
105	321	1194
106	324	1192
107	326	1185
108	327	1176
109	329	1167
110	332	1166
111	336	1165
112	338	1160
113	342	1160
114	346	1159
115	350	1159
116	352	1153
117	355	1151
118	360	1152
119	364	1153
120	368	1154
121	372	1153
122	375	1152
123	379	1151
124	383	1149
125	384	1140
126	387	1139
127	391	1138
128	395	1136
129	398	1134
130	402	1133
131	405	1131
132	409	1129
133	413	1128
134	416	1126
135	420	1124
136	423	1122
137	427	1120
138	429	1115
139	432	1113
140	436	1111
141	438	1105
142	442	1104
